,_id,name,followers,genres,popularity
45,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,870249,"['crunk', 'dance pop', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",76
46,4dpARuHxo51G3z768sgnrY,Adele,6069138,"['dance pop', 'pop']",84
47,2IvkS5MXK0vPGnwyJsrEyV,Eric Church,759220,"['contemporary country', 'country', 'country road', 'modern country rock']",73
48,6jJ0s89eD6GaHleKKya26X,Katy Perry,5588930,"['dance pop', 'pop', 'pop christmas', 'post-teen pop']",85
49,7vCtweS8UVAXTyau2j0rDT,Josh Turner,336220,"['contemporary country', 'country', 'country christmas', 'country road', 'modern country rock']",66
50,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,882619,"['dwn trap', 'pop rap', 'rap', 'trap music']",86
51,2iojnBLj0qIMiKPvVhLnsH,Trey Songz,1680839,"['dance pop', 'dwn trap', 'pop', 'pop christmas', 'pop rap', 'post-teen pop', 'r&b', 'southern hip hop', 'trap music', 'urban contemporary']",80
52,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,4015098,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",82
53,02rd0anEWfMtF7iMku9uor,Reba McEntire,223406,"['contemporary country', 'country', 'country christmas', 'country dawn', 'country road', 'nashville sound', 'traditional country']",58
54,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,847325,"['dwn trap', 'pop rap', 'rap', 'trap music']",86
55,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,1469155,"['dance pop', 'pop', 'post-teen pop', 'tropical house']",86
56,6LuN9FCkKOj5PcnpouEgny,Khalid,239386,"['pop', 'rap']",83
57,2qxJFvFYMEDqd7ui6kSAcq,Zedd,1244957,"['complextro', 'dance pop', 'edm', 'german techno', 'pop', 'tropical house']",85
58,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,3561460,"['hip hop', 'pop rap', 'rap', 'west coast rap']",89
59,3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,732496,"['contemporary country', 'country road', 'modern country rock']",78
60,32WkQRZEVKSzVAAYqukAEA,Lady Antebellum,1035890,"['contemporary country', 'country', 'country christmas', 'country dawn', 'country road', 'neo mellow', 'pop', 'pop christmas', 'pop rock']",68
61,4IWBUUAFIplrNtaOHcJPRM,James Arthur,554592,"['pop', 'post-teen pop', 'talent show']",81
62,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,5546063,"['canadian pop', 'pop']",92
63,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,5879694,"['dance pop', 'pop', 'pop christmas', 'post-teen pop']",87
64,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,8711573,['pop'],99
65,3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,119552,"['contemporary country', 'country', 'country road', 'modern country rock']",66
66,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,1438954,"['dwn trap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",82
67,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,3232098,"['electro', 'electronic', 'filter house']",86
68,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,3026259,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",84
69,3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,1205036,"['contemporary country', 'country', 'country road', 'modern country rock']",74
70,246dkjvS1zLTtiykXe5h60,Post Malone,660641,"['dwn trap', 'pop rap', 'rap', 'trap music']",84
71,5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,454238,"['contemporary country', 'country', 'country road', 'modern country rock']",72
72,4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,95917,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",68
73,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,7117707,"['permanent wave', 'pop', 'pop christmas']",90
74,163tK9Wjr9P9DmM0AVK7lm,Lorde,2064864,"['dance pop', 'metropopolis', 'pop']",82
75,5y2Xq6xcjJb2jVM54GHK3t,John Legend,1782948,"['neo soul', 'pop', 'pop christmas', 'pop rap', 'r&b', 'soul christmas', 'urban contemporary']",82
76,39NR3AUhpbbqKM33vWn2fp,Brothers Osborne,55980,"['contemporary country', 'country', 'country road', 'modern country rock']",62
77,6icQOAFXDZKsumw3YXyusw,Lil Yachty,640480,"['dwn trap', 'rap', 'trap music']",84
78,6y8XlgIV8BLlIg1tT1R10i,Old Dominion,97775,"['christian dance', 'contemporary country', 'country', 'country road', 'modern country rock']",69
79,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,4137005,"['dance pop', 'dwn trap', 'pop', 'pop christmas', 'pop rap', 'r&b', 'rap', 'soul christmas']",86
80,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,686472,"['dwn trap', 'rap', 'trap music']",85
81,718COspgdWOnwOFpJHRZHS,Luke Combs,35482,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",65
82,06HL4z0CvFAxyc27GXpf02,Taylor Swift,5227273,"['dance pop', 'pop', 'pop christmas', 'post-teen pop']",82
83,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,1043164,"['dance pop', 'pop', 'post-teen pop', 'tropical house']",87
84,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,3324892,"['dance pop', 'pop', 'pop christmas']",79
85,0fiWOxhsBsQQvFDtxUQWo0,Brett Young,31464,"['contemporary country', 'country', 'country road', 'neo mellow']",68
86,15UsOTVnJzReFVN1VCnxy4,Xxxtentacion,211404,"['dwn trap', 'trap music', 'underground hip hop']",72
87,1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,232646,"['contemporary country', 'country', 'country road', 'modern country rock']",69
88,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,2331315,"['emo', 'pop', 'pop punk', 'vegas indie']",81
89,7dGJo4pcD2V6oG8kP0tJRR,Eminem,7948158,"['detroit hip hop', 'g funk', 'hip hop', 'pop rap', 'rap']",88
90,4qBgvVog0wzW75IQ48mU7v,Kyle,191628,"['dwn trap', 'pop rap', 'rap']",80
91,1Dvfqq39HxvCJ3GvfeIFuT,Mastodon,255344,"['alternative metal', 'alternative rock', 'funk rock', 'groove metal', 'metal', 'nu metal', 'post-grunge', 'rock', 'sludge metal', 'stoner metal']",66
92,3CygdxquGHurS7f9LjNLkv,Little Big Town,357159,"['contemporary country', 'country', 'country christmas', 'country dawn', 'country road', 'modern country rock']",68
93,3FUY2gzHeIiaesXtOAdB7A,Train,1563370,"['neo mellow', 'pop', 'pop christmas', 'pop rock', 'viral pop']",74
94,1UTPBmNbXNTittyMJrNkvw,Blake Shelton,1500836,"['contemporary country', 'country', 'country christmas', 'country road', 'pop christmas']",74
95,6KImCVD70vtIoJWnq6nGn3,Harry Styles,359433,['post-teen pop'],70
96,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,2683519,"['pop rap', 'rap']",85
97,6APm8EjxOHSYM5B4i3vT3q,MercyMe,182913,"['anthem worship', 'ccm', 'christian alternative rock', 'christian christmas', 'christian music', 'christian rock', 'worship']",61
98,23fqKkggKUBHNkbKtXEls4,Kygo,1417685,"['edm', 'minimal dub', 'pop', 'tropical house']",87
99,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,6095575,"['dance pop', 'pop']",90
100,2CvCyf1gEVhI0mX6aFXmVI,Paul Simon,406501,"['adult standards', 'album rock', 'art rock', 'brill building pop', 'classic rock', 'folk', 'folk christmas', 'folk rock', 'folk-pop', 'mellow gold', 'neo mellow', 'permanent wave', 'pop rock', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'soul', 'traditional folk']",67
101,42TFhl7WlMRXiNqzSrnzPL,Lou Reed,387612,"['album rock', 'alternative rock', 'art rock', 'blues-rock', 'classic rock', 'dance rock', 'folk', 'glam rock', 'mellow gold', 'neo mellow', 'new wave', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'singer-songwriter', 'soul']",64
102,6v8FB84lnmJs434UJf2Mrm,Neil Young,680034,"['album rock', 'blues-rock', 'classic rock', 'mellow gold', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",67
103,1EevBGfUh3RSQSGpluxgBm,Joan Baez,110860,"['folk', 'folk christmas', 'folk rock', 'folk-pop', 'mellow gold', 'singer-songwriter', 'traditional folk']",51
104,44NX2ffIYHr6D4n7RaZF7A,Van Morrison,460260,"['album rock', 'classic rock', 'folk', 'folk rock', 'jazz blues', 'mellow gold', 'neo mellow', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'soul']",70
105,4vpDg7Y7fU982Ds30zawDA,The Band,184943,"['album rock', 'alternative country', 'blues-rock', 'classic rock', 'country rock', 'electric blues', 'folk', 'folk christmas', 'folk rock', 'jam band', 'mellow gold', 'modern blues', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock', 'traditional folk']",61
106,1PCZpxHJz7WAMF8EEq8bfc,The Byrds,113359,"['album rock', 'art rock', 'blues-rock', 'brill building pop', 'british blues', 'bubblegum pop', 'classic funk rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'hard rock', 'mellow gold', 'motown', 'power pop', 'psychedelic rock', 'rock', 'rock-and-roll', 'rockabilly', 'roots rock', 'singer-songwriter', 'soft rock', 'soul', 'traditional folk']",59
107,6vLlQYujOujIrm7zAKzEdG,Donovan,84639,"['album rock', 'art rock', 'blues-rock', 'brill building pop', 'british blues', 'british folk', 'british invasion', 'bubblegum pop', 'classic funk rock', 'classic rock', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",55
108,5lkiCO9UQ8B23dZ1o0UV4m,Jackson Browne,138286,"['album rock', 'art rock', 'blues-rock', 'classic rock', 'country rock', 'folk', 'folk christmas', 'folk rock', 'hard rock', 'lilith', 'mellow gold', 'piano rock', 'pop rock', 'rock', 'rock-and-roll', 'rockabilly', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock', 'traditional folk']",59
109,7FIoB5PHdrMZVC3q2HE5MS,George Harrison,232517,"['album rock', 'art rock', 'blues-rock', 'british blues', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",63
110,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",164955,"['album rock', 'art rock', 'blues-rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock', 'symphonic rock', 'traditional folk']",58
111,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,392939,"['album rock', 'alternative rock', 'art rock', 'blues-rock', 'british blues', 'british invasion', 'classic rock', 'dance rock', 'folk christmas', 'folk rock', 'garage rock', 'glam rock', 'hard rock', 'mellow gold', 'motown', 'protopunk', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'singer-songwriter', 'soft rock', 'soul']",66
112,6r1Xmz7YUD4z0VRUoGm8XN,Leon Russell,35357,"['blues', 'blues-rock', 'british blues', 'classic funk rock', 'classic rock', 'country blues', 'country rock', 'electric blues', 'folk', 'folk christmas', 'folk rock', 'jam band', 'jazz blues', 'mellow gold', 'memphis soul', 'modern blues', 'new orleans blues', 'piano rock', 'psychedelic rock', 'pub rock', 'rock', 'rock-and-roll', 'rockabilly', 'roots rock', 'singer-songwriter', 'soft rock', 'soul', 'soul blues', 'southern rock', 'southern soul', 'traditional blues', 'traditional folk']",47
113,5hW4L92KnC6dX9t7tYM4Ve,Joni Mitchell,222620,"['art rock', 'brill building pop', 'canadian pop', 'classic rock', 'folk', 'folk rock', 'folk-pop', 'lilith', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soul', 'traditional folk']",61
